买家会员名,宝贝ID,类别,购买次数
31,544768785584,3,2.380952380952381
31,35753244214,3,2.3333333333333335
31,549378588703,3,2.1923076923076925
31,549882564050,3,2.12
31,549736062191,3,2.1176470588235294
31,544016559367,3,2.111111111111111
31,42577833473,3,2.1025641025641026
32,549882564050,7,2.888888888888889
32,538585695146,7,2.8333333333333335
32,544016559367,7,2.6363636363636362
32,39539028043,7,2.323529411764706
32,545957998521,7,2.085714285714286
32,548547222435,7,1.9333333333333333
32,544115759872,7,1.88
32,529338111966,7,1.875
32,544115359956,7,1.875
32,527419046969,7,1.6666666666666667
33,549882564050,7,2.888888888888889
33,538585695146,7,2.8333333333333335
33,544016559367,7,2.6363636363636362
33,39539028043,7,2.323529411764706
33,545957998521,7,2.085714285714286
33,548547222435,7,1.9333333333333333
33,544115759872,7,1.88
33,529338111966,7,1.875
33,544115359956,7,1.875
33,546243180299,7,1.8333333333333333
34,549882564050,7,2.888888888888889
34,538585695146,7,2.8333333333333335
34,544016559367,7,2.6363636363636362
34,39539028043,7,2.323529411764706
34,545957998521,7,2.085714285714286
34,548547222435,7,1.9333333333333333
34,544115759872,7,1.88
34,544115359956,7,1.875
34,529338111966,7,1.875
34,546243180299,7,1.8333333333333333
35,549882564050,7,2.888888888888889
35,538585695146,7,2.8333333333333335
35,544016559367,7,2.6363636363636362
35,39539028043,7,2.323529411764706
35,545957998521,7,2.085714285714286
35,548547222435,7,1.9333333333333333
35,544115759872,7,1.88
35,529338111966,7,1.875
35,544115359956,7,1.875
35,546243180299,7,1.8333333333333333
36,545957998521,1,7.0
36,544115359956,1,4.0
36,546275765548,1,2.8333333333333335
36,528705813655,1,1.5
36,521019257989,1,1.3333333333333333
36,548547222435,1,1.3333333333333333
36,40400203213,1,1.2727272727272727
36,541592740476,1,1.1428571428571428
36,545602185334,1,1.0
36,530910185416,1,1.0
37,544115359956,3,3.3636363636363638
37,537396783238,3,3.1511627906976742
37,39539028043,3,3.12
37,544115759872,3,2.5510204081632653
37,36286235128,3,2.4596774193548385
37,544768785584,3,2.380952380952381
37,35753244214,3,2.3333333333333335
37,549378588703,3,2.1923076923076925
37,549882564050,3,2.12
37,549736062191,3,2.1176470588235294
38,39539028043,6,4.444444444444445
38,544016559367,6,4.4
38,545957998521,6,3.0
38,35798985871,6,3.0
38,529055709096,6,3.0
38,544115759872,6,2.727272727272727
38,42577833473,6,2.6
38,549882564050,6,2.4
38,537396783238,6,2.375
38,36286235128,6,2.2857142857142856
39,549882564050,7,2.888888888888889
39,538585695146,7,2.8333333333333335
39,544016559367,7,2.6363636363636362
39,39539028043,7,2.323529411764706
39,545957998521,7,2.085714285714286
39,548547222435,7,1.9333333333333333
39,544115359956,7,1.875
39,529338111966,7,1.875
39,546243180299,7,1.8333333333333333
39,549378588703,7,1.6774193548387097
40,549882564050,7,2.888888888888889
40,538585695146,7,2.8333333333333335
40,544016559367,7,2.6363636363636362
40,39539028043,7,2.323529411764706
40,545957998521,7,2.085714285714286
40,548547222435,7,1.9333333333333333
40,544115759872,7,1.88
40,544115359956,7,1.875
40,529338111966,7,1.875
40,546243180299,7,1.8333333333333333
41,549882564050,7,2.888888888888889
41,538585695146,7,2.8333333333333335
41,544016559367,7,2.6363636363636362
41,39539028043,7,2.323529411764706
41,545957998521,7,2.085714285714286
41,548547222435,7,1.9333333333333333
41,544115759872,7,1.88
41,529338111966,7,1.875
41,544115359956,7,1.875
41,546243180299,7,1.8333333333333333
42,544115359956,3,3.3636363636363638
42,39539028043,3,3.12
42,544768785584,3,2.380952380952381
42,35753244214,3,2.3333333333333335
42,549378588703,3,2.1923076923076925
42,549882564050,3,2.12
42,549736062191,3,2.1176470588235294
42,544016559367,3,2.111111111111111
42,42577833473,3,2.1025641025641026
42,537180206236,3,2.1
43,39539028043,6,4.444444444444445
43,544016559367,6,4.4
43,35798985871,6,3.0
43,545957998521,6,3.0
43,529055709096,6,3.0
43,544115759872,6,2.727272727272727
43,42577833473,6,2.6
43,549882564050,6,2.4
43,537396783238,6,2.375
43,35722000205,6,2.125
44,549882564050,7,2.888888888888889
44,538585695146,7,2.8333333333333335
44,544016559367,7,2.6363636363636362
44,39539028043,7,2.323529411764706
44,545957998521,7,2.085714285714286
44,548547222435,7,1.9333333333333333
44,544115759872,7,1.88
44,529338111966,7,1.875
44,544115359956,7,1.875
44,546243180299,7,1.8333333333333333
45,549736062191,2,4.0
45,544115359956,2,2.4444444444444446
45,544115759872,2,2.0294117647058822
45,540522690300,2,2.0
45,540520509637,2,2.0
45,537396783238,2,1.962962962962963
45,546243180299,2,1.8181818181818181
45,39539028043,2,1.7894736842105263
45,528705813655,2,1.6666666666666667
45,549882564050,2,1.625
46,549736062191,2,4.0
46,544115359956,2,2.4444444444444446
46,544115759872,2,2.0294117647058822
46,540520509637,2,2.0
46,540522690300,2,2.0
46,537396783238,2,1.962962962962963
46,546243180299,2,1.8181818181818181
46,39539028043,2,1.7894736842105263
46,528705813655,2,1.6666666666666667
46,549882564050,2,1.625
47,549882564050,7,2.888888888888889
47,538585695146,7,2.8333333333333335
47,544016559367,7,2.6363636363636362
47,39539028043,7,2.323529411764706
47,545957998521,7,2.085714285714286
47,548547222435,7,1.9333333333333333
47,544115759872,7,1.88
47,529338111966,7,1.875
